SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
47-2061,"Construction Laborers",2862.00018574,2892.09874401,2961.44170579,69.3429617808,0.0239766923327,0.111333056549,26.8528906879,"No formal educational credential",None,"Short-term on-the-job training"
47-2031,Carpenters,2402.85207389,2394.6585851,2365.09795959,-29.5606255145,-0.0123444008671,0.0934719945696,33.4233961488,"High school diploma or equivalent",None,Apprenticeship
47-1011,"First-Line Supervisors of Construction Trades and Extraction Workers",2126.95256074,2141.51003944,2170.74079666,29.2307572151,0.0136496008316,0.0827393830723,46.2722957928,"High school diploma or equivalent","5 years or more",None
47-2111,Electricians,1360.00035291,1367.62938933,1387.88984621,20.2604568768,0.0148142888964,0.0529046073969,44.6732287131,"High school diploma or equivalent",None,Apprenticeship
47-2152,"Plumbers, Pipefitters, and Steamfitters",1225.55345069,1254.89945753,1321.25560131,66.3561437852,0.0528776575582,0.0476745642118,37.7951152909,"High school diploma or equivalent",None,Apprenticeship
13-1082,"Project Management Specialists",979.654164611,980.835717106,976.875557073,-3.96016003254,-0.00403753652469,0.038108974643,54.4154343989,"Bachelor's degree",None,None
47-2073,"Operating Engineers and Other Construction Equipment Operators",804.052227093,813.426155501,831.545199319,18.1190438176,0.0222749707458,0.0312779826196,40.2825615093,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-2181,Roofers,719.398074301,725.294199915,735.207868436,9.91366852136,0.0136684789738,0.0279848991227,28.844802428,"No formal educational credential",None,"Moderate-term on-the-job training"
47-2141,"Painters, Construction and Maintenance",715.631424064,717.673775713,726.53348936,8.85971364699,0.012345043036,0.0278383747843,27.2010948717,"No formal educational credential",None,"Moderate-term on-the-job training"
11-9021,"Construction Managers",692.70863387,698.457243382,713.509302891,15.052059509,0.0215504379855,0.0269466682394,60.1869901881,"Bachelor's degree",None,"Moderate-term on-the-job training"
47-2051,"Cement Masons and Concrete Finishers",643.076874103,643.425340295,640.745424162,-2.67991613289,-0.00416507707275,0.0250159711192,33.5197678366,"No formal educational credential",None,"Moderate-term on-the-job training"
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",629.005008149,649.550241539,702.445111746,52.894870208,0.0814330698772,0.0244685693909,33.025517469,"Postsecondary nondegree award",None,"Long-term on-the-job training"
43-9061,"Office Clerks, General",626.531492303,625.338423665,613.965226631,-11.3731970339,-0.0181872672516,0.0243723485448,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-1021,"General and Operations Managers",537.940431703,541.603041652,549.797808338,8.19476668619,0.0151305772973,0.0209261176156,61.6285042673,"Bachelor's degree","5 years or more",None
47-2081,"Drywall and Ceiling Tile Installers",505.112695348,509.855972368,526.998470043,17.1424976751,0.0336222356982,0.0196491043414,33.336,"No formal educational credential",None,"Moderate-term on-the-job training"
13-1051,"Cost Estimators",504.178673298,501.656289585,489.060700365,-12.5955892198,-0.0251080061814,0.0196127704759,37.341,"Bachelor's degree",None,"Moderate-term on-the-job training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",438.2551669,443.480733504,455.05410047,11.5733669659,0.0260966623612,0.0170483173,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",404.666088239,402.998924731,393.031893842,-9.96703088832,-0.0247321525609,0.0157416874778,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
47-2211,"Sheet Metal Workers",312.343069632,315.519230763,320.339633443,4.82040267934,0.0152776826556,0.012150281753,44.5867467595,"High school diploma or equivalent",None,Apprenticeship
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",302.020555661,302.666941042,301.912216342,-0.754724699984,-0.00249358155002,0.0117487314535,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",258.23323022,259.176132711,260.199600091,1.02346737998,0.00394892604221,0.0100453853798,40.6028228432,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",236.631950444,241.331195487,251.367366165,10.0361706776,0.0415867109815,0.00920508616709,42.5591544539,"High school diploma or equivalent","Less than 5 years",None
49-9051,"Electrical Power-Line Installers and Repairers",219.560621715,225.701931756,238.547841209,12.8459094533,0.0569153722049,0.00854100402755,67.4703029488,"High school diploma or equivalent",None,"Long-term on-the-job training"
13-2011,"Accountants and Auditors",216.872619421,217.381438039,217.47469118,0.0932531410233,0.000428983918152,0.00843643956493,43.1089648075,"Bachelor's degree",None,None
47-2082,Tapers,192.205032326,192.811009282,195.42804042,2.61703113804,0.0135730379079,0.00747685965901,31.635,"No formal educational credential",None,"Moderate-term on-the-job training"
47-2151,Pipelayers,187.639169751,189.475877233,189.737173187,0.261295954963,0.00137904602306,0.00729924561176,39.3034862345,"No formal educational credential",None,"Short-term on-the-job training"
47-2121,Glaziers,183.701573743,181.541658673,175.922981256,-5.61867741736,-0.0309497966385,0.00714607140822,32.6625182719,"High school diploma or equivalent",None,Apprenticeship
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",176.122838172,176.658529687,176.300613723,-0.357915963348,-0.00202603273096,0.00685125528621,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
17-2051,"Civil Engineers",168.532785562,167.957293327,165.335990298,-2.6213030292,-0.0156069616107,0.00655599892648,48.7570302453,"Bachelor's degree",None,None
47-4031,"Fence Erectors",159.524241375,161.485621656,165.529413511,4.04379185473,0.0250411882696,0.00620556262517,27.3669297747,"No formal educational credential",None,"Moderate-term on-the-job training"
47-4021,"Elevator and Escalator Installers and Repairers",143.681310268,142.361390231,138.117920216,-4.24347001432,-0.0298077309266,0.00558926568936,59.3096195635,"High school diploma or equivalent",None,Apprenticeship
51-4121,"Welders, Cutters, Solderers, and Brazers",142.934534668,143.792829434,145.20148635,1.40865691622,0.00979643367311,0.00556021579253,29.5930260812,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-2221,"Structural Iron and Steel Workers",127.016182701,126.48504064,124.896623552,-1.5884170883,-0.0125581418977,0.0049409849523,47.6133931251,"High school diploma or equivalent",None,Apprenticeship
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",125.825227928,127.073777182,131.190730225,4.11695304283,0.0323981322829,0.00489465629177,21.411,"No formal educational credential",None,"Short-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",125.792022158,126.857092515,128.921283787,2.06419127169,0.0162717845,0.00489336457279,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",124.416342926,125.598342493,127.666820376,2.06847788272,0.0164689902881,0.00483985005017,37.8281842197,"High school diploma or equivalent",None,"Long-term on-the-job training"
