SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
25-1099,"Postsecondary Teachers",1089.52905144,1083.34304548,1062.73111283,-20.6119326518,-0.0190262287996,0.160614633178,38.7686053916,"Doctoral or professional degree",None,None
25-3021,"Self-Enrichment Teachers",601.426049485,629.774966016,691.77770531,62.0027392938,0.0984522133137,0.0886601639433,21.6561280653,"High school diploma or equivalent","Less than 5 years",None
27-2022,"Coaches and Scouts",374.560551274,385.641732056,410.019903859,24.3781718035,0.0632145584286,0.0552164308664,20.8787024107,"Bachelor's degree",None,None
25-9045,"Teaching Assistants, Except Postsecondary",214.4775365,216.256947573,217.636525814,1.37957824025,0.00637934760353,0.0316175422805,22.7327297416,"Some college, no degree",None,None
25-2021,"Elementary School Teachers, Except Special Education",202.976310046,202.957681964,199.511698081,-3.44598388352,-0.0169788295282,0.0299220709523,46.5626989014,"Bachelor's degree",None,None
43-9061,"Office Clerks, General",199.338739536,197.162609874,187.173650386,-9.98895948769,-0.0506635588465,0.0293858327929,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",168.099795658,166.934197324,161.29164741,-5.64254991433,-0.0338010425951,0.0247806949077,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
25-3041,Tutors,154.331023332,161.508408779,176.282443857,14.7740350777,0.0914753305377,0.0227509497499,19.6676206215,"Bachelor's degree",None,None
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",133.740251387,133.864897552,131.2980442,-2.56685335215,-0.0191749547423,0.0197155288234,46.3519248372,"Bachelor's degree",None,None
11-9033,"Education Administrators, Postsecondary",127.658388681,125.903805488,120.420841874,-5.48296361485,-0.0435488315351,0.0188189614981,50.3712182378,"Master's degree","Less than 5 years",None
21-1012,"Educational, Guidance, and Career Counselors and Advisors",121.414867365,121.970770508,122.759947129,0.7891766219,0.00647021100725,0.0178985630153,39.3310050861,"Master's degree",None,None
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",104.5859521,103.882679588,100.889134172,-2.99354541604,-0.0288165979921,0.0154177020887,20.3338841552,"No formal educational credential",None,"Short-term on-the-job training"
13-1199,"Business Operations Specialists, All Other",102.417323283,102.772166568,102.703143045,-0.0690235239005,-0.00067161689984,0.0150980102718,44.0340204732,"Bachelor's degree",None,None
25-9031,"Instructional Coordinators",97.2794230982,98.9271870615,102.041915756,3.11472869482,0.0314850627754,0.0143405986614,43.1740033238,"Master's degree","5 years or more",None
39-9031,"Exercise Trainers and Group Fitness Instructors",88.9627932039,93.2947212007,103.451946907,10.1572257067,0.108872458978,0.0131145896275,23.3152954454,"High school diploma or equivalent",None,"Short-term on-the-job training"
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",79.1293647595,79.1148248894,77.586017895,-1.52880699446,-0.0193239003765,0.0116649793575,46.4687353733,"Bachelor's degree",None,None
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",75.4156986004,75.2077165336,73.5968095777,-1.61090695588,-0.0214194371287,0.0111175234387,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
11-1021,"General and Operations Managers",74.4501263038,77.1349215642,83.0622386939,5.92731712976,0.0768434972067,0.0109751820849,61.6285042673,"Bachelor's degree","5 years or more",None
11-9032,"Education Administrators, Kindergarten through Secondary",68.9917213107,68.9852787303,67.7667810619,-1.21849766841,-0.0176631549634,0.0101705227557,78.8075069413,"Master's degree","5 years or more",None
25-3031,"Substitute Teachers, Short-Term",63.3283716347,63.5812609738,63.307422877,-0.273838096756,-0.00430689943172,0.00933565118471,26.7150482517,"Bachelor's degree",None,None
43-4171,"Receptionists and Information Clerks",56.5929789736,57.8062018638,59.6831758585,1.87697399468,0.0324701145233,0.00834274271647,20.3347398054,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1131,Fundraisers,55.6532743443,55.4975386423,54.5091438421,-0.988394800199,-0.0178097051577,0.00820421468536,33.8559877559,"Bachelor's degree",None,None
49-9071,"Maintenance and Repair Workers, General",55.360642489,55.2415849179,54.2848782779,-0.956706640051,-0.017318595067,0.00816107590165,26.6236216066,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
25-2011,"Preschool Teachers, Except Special Education",54.9924963962,55.6248353457,56.4259055743,0.801070228625,0.0144013051661,0.00810680506824,19.296,"Associate's degree",None,None
15-1232,"Computer User Support Specialists",54.4624829987,53.4059848282,49.7621859082,-3.64379891999,-0.0682282881162,0.00802867231233,32.2581553392,"Some college, no degree",None,None
13-1151,"Training and Development Specialists",52.1555360873,53.1486070953,55.4908571433,2.34225004799,0.0440698294086,0.00768859011679,41.1552910592,"Bachelor's degree","Less than 5 years",None
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",49.5292784151,49.2983750169,47.6729267227,-1.62544829425,-0.032971640418,0.00730143622485,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
13-1161,"Market Research Analysts and Marketing Specialists",49.4825429203,50.1478275957,51.2835951686,1.13576757293,0.0226483903168,0.0072945466386,44.3914768596,"Bachelor's degree",None,None
13-2011,"Accountants and Auditors",49.4756239917,49.6690762301,49.664388037,-0.00468819310901,-9.43885706126E-5,0.0072935266739,43.1089648075,"Bachelor's degree",None,None
43-6011,"Executive Secretaries and Executive Administrative Assistants",48.4317418772,47.9525103442,46.0712216881,-1.88128865614,-0.0392323288736,0.00713964115549,35.241658593,"High school diploma or equivalent","Less than 5 years",None
11-9039,"Education Administrators, All Other",45.8778785136,47.726954106,51.8512055367,4.12425143067,0.0864134640042,0.00676315938405,39.0823030696,"Bachelor's degree","Less than 5 years",None
15-1252,"Software Developers",44.416497183,44.9346299589,45.9354309023,1.00080094335,0.0222723753209,0.00654772756417,73.4116993984,"Bachelor's degree",None,None
19-1042,"Medical Scientists, Except Epidemiologists",43.1302330897,43.2151224761,43.8424900786,0.627367602566,0.0145173163148,0.00635811092638,44.618377804,"Doctoral or professional degree",None,None
33-9032,"Security Guards",42.2782165376,41.4039487741,38.5014125129,-2.90253626116,-0.0701028850411,0.00623250957064,21.1356930588,"High school diploma or equivalent",None,"Short-term on-the-job training"
