SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
41-3021,"Insurance Sales Agents",1348.71140267,1397.89135879,1515.61825408,117.726895287,0.0842174855345,0.154777685904,28.1142895271,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
41-3031,"Securities, Commodities, and Financial Services Sales Agents",587.128742556,579.900660223,564.30157854,-15.5990816823,-0.0268995756554,0.0673787052743,34.5730200991,"Bachelor's degree",None,"Moderate-term on-the-job training"
43-4051,"Customer Service Representatives",563.326854713,571.539320096,587.204820004,15.6654999076,0.0274093126347,0.0646472082965,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-3071,Tellers,491.958271172,475.080367057,429.890310146,-45.1900569104,-0.0951208680551,0.0564569726501,21.06,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-2052,"Personal Financial Advisors",434.076842479,436.267533773,440.089776346,3.82224257266,0.00876123542727,0.0498145185475,48.7440127866,"Bachelor's degree",None,"Long-term on-the-job training"
15-1252,"Software Developers",318.034280716,321.136624046,330.113960915,8.97733686831,0.0279548833615,0.0364975115581,73.4116993984,"Bachelor's degree",None,None
13-2072,"Loan Officers",307.03152447,299.185096679,282.211829362,-16.9732673167,-0.0567316604507,0.0352348387972,34.2632012097,"Bachelor's degree","Less than 5 years","Moderate-term on-the-job training"
13-1031,"Claims Adjusters, Examiners, and Investigators",270.524758051,273.079558864,275.437533114,2.35797425059,0.00863475193969,0.0310453340485,36.0151792245,"High school diploma or equivalent",None,"Long-term on-the-job training"
43-9041,"Insurance Claims and Policy Processing Clerks",255.977940097,260.798764586,268.482451166,7.68368658032,0.0294621279841,0.0293759459083,26.2822954307,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3031,"Financial Managers",224.72602352,227.229673559,237.226930897,9.99725733848,0.0439962667811,0.0257894860338,79.3209756057,"Bachelor's degree","5 years or more",None
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",213.374391537,214.249584907,216.200942534,1.95135762768,0.00910787121727,0.0244867764059,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
13-1111,"Management Analysts",209.579924949,211.958491775,217.545059949,5.58656817392,0.026356897179,0.0240513246431,56.4777337062,"Bachelor's degree","Less than 5 years",None
13-1199,"Business Operations Specialists, All Other",178.255823072,179.939125772,183.496693209,3.55756743619,0.019770949875,0.020456580807,44.0340204732,"Bachelor's degree",None,None
11-1021,"General and Operations Managers",165.92254863,169.431759746,180.037272563,10.6055128163,0.0625945975665,0.0190412182069,61.6285042673,"Bachelor's degree","5 years or more",None
13-2011,"Accountants and Auditors",149.736874321,152.059471047,157.914327359,5.85485631181,0.0385037266768,0.0171837554395,43.1089648075,"Bachelor's degree",None,None
13-2053,"Insurance Underwriters",149.349539487,152.521159203,158.06226127,5.54110206728,0.036330054769,0.0171393050188,43.5124545702,"Bachelor's degree",None,"Moderate-term on-the-job training"
43-4131,"Loan Interviewers and Clerks",141.40959019,137.91419908,129.512159867,-8.40203921331,-0.0609222202598,0.0162281189963,26.5461622057,"High school diploma or equivalent",None,"Short-term on-the-job training"
