SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
55-9999,"Military-only occupations",18701.019444,19006.1445108,20180.9970056,1174.85249479,0.0618143513598,0.186890375168,21.5538348218,N/A,None,N/A
25-9045,"Teaching Assistants, Except Postsecondary",3650.56755927,3692.30124619,3792.06870714,99.7674609505,0.0270204011803,0.036482286047,22.7327297416,"Some college, no degree",None,None
25-2021,"Elementary School Teachers, Except Special Education",3362.23442723,3405.35543109,3508.40778387,103.052352784,0.0302618492753,0.0336008021054,46.5626989014,"Bachelor's degree",None,None
13-1199,"Business Operations Specialists, All Other",2544.33329487,2535.31395765,2496.4642059,-38.8497517461,-0.0153234480601,0.0254270311548,44.0340204732,"Bachelor's degree",None,None
29-1141,"Registered Nurses",1666.68181654,1690.04742632,1745.0139645,54.9665381818,0.0325236660971,0.016656139571,54.3484828739,"Bachelor's degree",None,None
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1588.85066245,1615.22514054,1678.41701826,63.1918777162,0.0391226437294,0.0158783267019,46.3519248372,"Bachelor's degree",None,None
49-3011,"Aircraft Mechanics and Service Technicians",1582.59312566,1607.84608833,1705.09409279,97.2480044573,0.0604834039547,0.0158157914267,43.9666774048,"Postsecondary nondegree award",None,None
33-3051,"Police and Sheriff's Patrol Officers",1573.68767102,1611.04659058,1722.92834254,111.881751961,0.0694466271897,0.0157267939384,53.727988352,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1449.5026655,1465.9215243,1506.98199291,41.0604686069,0.0280100045782,0.0144857395488,20.3338841552,"No formal educational credential",None,"Short-term on-the-job training"
25-3031,"Substitute Teachers, Short-Term",1339.70426296,1361.47012406,1422.80373745,61.3336133959,0.0450495477735,0.0133884590125,26.7150482517,"Bachelor's degree",None,None
13-1071,"Human Resources Specialists",1241.37595757,1256.6790498,1311.44943569,54.7703858909,0.0435834319827,0.0124058059578,40.3929065653,"Bachelor's degree",None,None
49-9071,"Maintenance and Repair Workers, General",1220.46052717,1239.59669947,1300.2018604,60.6051609299,0.0488910312167,0.0121967856609,26.6236216066,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1220.01612705,1237.46753445,1279.22242353,41.7548890804,0.0337422097292,0.0121923445071,46.4687353733,"Bachelor's degree",None,None
43-9061,"Office Clerks, General",1195.64824003,1199.14444083,1200.45818897,1.31374813818,0.00109557122015,0.0119488217643,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
25-1099,"Postsecondary Teachers",1107.392565,1104.95700534,1103.73188464,-1.22512069416,-0.00110874965111,0.0110668304769,38.7686053916,"Doctoral or professional degree",None,None
15-1299,"Computer Occupations, All Other",1042.6638189,1054.58140288,1096.44828733,41.8668844557,0.0397000026184,0.0104199577393,60.9376143038,"Bachelor's degree",None,None
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1008.03231673,1017.08547395,1036.1090224,19.0235484525,0.0187039820544,0.0100738646051,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
33-2011,Firefighters,952.828197101,971.62018579,1023.41760548,51.7974196894,0.0533103577375,0.00952217710698,46.6278191322,"Postsecondary nondegree award",None,"Long-term on-the-job training"
