SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
31-1128,"Home Health and Personal Care Aides",11972.1807646,12481.105341,13711.7267727,1230.6214317,0.0985987537224,0.200897979427,20.7217081649,"High school diploma or equivalent",None,"Short-term on-the-job training"
29-1141,"Registered Nurses",6473.42037977,6621.47446904,6975.39240635,353.91793731,0.053450019171,0.108626581894,54.3484828739,"Bachelor's degree",None,None
31-1131,"Nursing Assistants",3148.70580575,3241.06481619,3463.96027285,222.895456656,0.0687722922238,0.0528365421989,23.381730326,"Postsecondary nondegree award",None,None
31-9092,"Medical Assistants",2145.4525113,2202.6610974,2358.07022079,155.409123391,0.0705551678259,0.036001550841,27.5802869981,"Postsecondary nondegree award",None,None
31-9091,"Dental Assistants",1413.1676924,1440.49998068,1512.27234634,71.7723656556,0.0498246210469,0.0237135188297,28.1296338945,"Postsecondary nondegree award",None,None
43-6013,"Medical Secretaries and Administrative Assistants",1387.46411108,1419.1228231,1494.28457933,75.1617562222,0.0529635314143,0.0232822024594,28.0200303894,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-4171,"Receptionists and Information Clerks",1310.58140143,1331.81556727,1373.95876815,42.1432008821,0.0316434211447,0.0219920798556,20.3347398054,"High school diploma or equivalent",None,"Short-term on-the-job training"
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1164.82938499,1192.46585025,1262.1533483,69.6874980489,0.0584398270477,0.0195463027515,28.2777055463,"Bachelor's degree",None,None
25-2011,"Preschool Teachers, Except Special Education",1147.41827723,1179.13674338,1254.23280345,75.0960600731,0.063687320826,0.0192541374027,19.296,"Associate's degree",None,None
11-9111,"Medical and Health Services Managers",774.082497155,807.585997426,905.900310294,98.3143128684,0.121738506093,0.0129894137622,70.761021385,"Bachelor's degree","Less than 5 years",None
29-1229,"Physicians, All Other",677.279094809,691.478262367,725.49502027,34.0167579027,0.0491942549087,0.0113650139711,135.220059175,"Doctoral or professional degree",None,Internship/residency
29-2061,"Licensed Practical and Licensed Vocational Nurses",676.178295863,698.854768412,753.872476129,55.0177077168,0.0787255238192,0.0113465421247,37.1394213444,"Postsecondary nondegree award",None,None
29-2018,"Clinical Laboratory Technologists and Technicians",670.999025648,680.934430542,701.369491737,20.4350611949,0.0300103215204,0.0112596319,33.350007116,"Bachelor's degree",None,None
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",645.360888403,656.900660604,680.718416365,23.8177557609,0.0362577741039,0.0108294137075,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
29-1123,"Physical Therapists",605.880797677,622.019532303,661.849177942,39.8296456395,0.0640327892792,0.0101669220019,50.0809334904,"Doctoral or professional degree",None,None
