SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
15-1252,"Software Developers",312.134889404,331.423730924,381.77762945,50.3538985254,0.151932085204,0.135644426414,73.4116993984,"Bachelor's degree",None,None
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",136.246160917,134.712434674,131.812726984,-2.89970769076,-0.0215251672778,0.0592084799751,18.054,"No formal educational credential",None,"Short-term on-the-job training"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",122.417224582,116.279084895,101.587474643,-14.6916102523,-0.126347831732,0.0531988405506,35.2827273706,"Postsecondary nondegree award",None,"Moderate-term on-the-job training"
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",110.550656841,109.712139614,108.294500687,-1.41763892705,-0.012921440891,0.0480419874418,40.6028228432,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-4051,"Customer Service Representatives",83.9764052495,81.4089044255,74.9124675063,-6.49643691919,-0.0798000779526,0.0364936176926,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1161,"Market Research Analysts and Marketing Specialists",60.9173802293,63.3629921891,69.8154422427,6.45245005357,0.10183310211,0.0264728595886,44.3914768596,"Bachelor's degree",None,None
49-9052,"Telecommunications Line Installers and Repairers",60.8943534448,58.0746887766,51.4028074225,-6.67188135408,-0.114884496062,0.0264628528412,37.1642300032,"High school diploma or equivalent",None,"Long-term on-the-job training"
11-3021,"Computer and Information Systems Managers",54.5484948973,56.5664369723,62.4417854733,5.875348501,0.103866335153,0.0237051337524,93.4130432172,"Bachelor's degree","5 years or more",None
13-1082,"Project Management Specialists",51.8963862817,52.1343369406,52.837889637,0.703552696421,0.013494996536,0.0225526071873,54.4154343989,"Bachelor's degree",None,None
13-1199,"Business Operations Specialists, All Other",50.7976035968,49.8049079366,47.4468359652,-2.35807197135,-0.0473461766931,0.0220751093102,44.0340204732,"Bachelor's degree",None,None
11-1021,"General and Operations Managers",45.8636168537,47.4005803802,51.8287014509,4.42812107074,0.0934191319015,0.0199309472046,61.6285042673,"Bachelor's degree","5 years or more",None
15-1232,"Computer User Support Specialists",44.7008682606,45.0959350402,45.727611012,0.631675971748,0.0140073816229,0.0194256516694,32.2581553392,"Some college, no degree",None,None
15-1299,"Computer Occupations, All Other",37.9682028576,38.3667543895,39.5269870261,1.16023263666,0.0302405729941,0.0164998379657,60.9376143038,"Bachelor's degree",None,None
41-3011,"Advertising Sales Agents",37.697266066,38.480120139,40.4965110991,2.0163909602,0.0524008488777,0.0163820969924,35.1709784519,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1241,"Computer Network Architects",36.3997447179,35.0875078108,32.0728555157,-3.01465229509,-0.0859181082723,0.0158182332751,73.6185282167,"Bachelor's degree","5 years or more",None
15-1211,"Computer Systems Analysts",34.1180961333,34.1580792988,34.3088122008,0.150732901987,0.00441280379581,0.0148266974871,58.4694824003,"Bachelor's degree",None,None
15-1255,"Web and Digital Interface Designers",33.9492077718,36.4458677983,42.7638753196,6.31800752133,0.17335319209,0.0147533036894,57.2871080263,"Bachelor's degree",None,None
15-1253,"Software Quality Assurance Analysts and Testers",30.0928561407,31.4606856371,34.9437741726,3.48308853545,0.110712416621,0.0130774493623,57.332740121,"Bachelor's degree",None,None
35-3023,"Fast Food and Counter Workers",27.5163959658,27.2705991818,26.8550689778,-0.415530203991,-0.0152372964459,0.0119577973321,16.578,"No formal educational credential",None,"Short-term on-the-job training"
27-2012,"Producers and Directors",27.4685160464,30.5487429857,39.4173194288,8.86857644316,0.290309046343,0.0119369901605,35.1113474388,"Bachelor's degree","Less than 5 years",None
13-2011,"Accountants and Auditors",26.1251441689,26.470430184,27.5021602694,1.03173008542,0.0389767026166,0.0113532011835,43.1089648075,"Bachelor's degree",None,None
27-3041,Editors,25.6946877161,25.7874869699,26.2040266906,0.416539720734,0.0161527845354,0.0111661377676,37.8259791761,"Bachelor's degree","Less than 5 years",None
41-1012,"First-Line Supervisors of Non-Retail Sales Workers",23.6659706244,22.7667026026,20.6369165794,-2.1297860232,-0.0935482867404,0.0102845183921,42.7607512384,"High school diploma or equivalent","Less than 5 years",None
15-1244,"Network and Computer Systems Administrators",23.5575213863,22.9590627222,21.3970995997,-1.56196312249,-0.0680325299596,0.010237389618,48.4884478335,"Bachelor's degree",None,None
13-1071,"Human Resources Specialists",23.3247450752,24.0487492269,25.9441787883,1.8954295614,0.0788161389818,0.0101362320407,40.3929065653,"Bachelor's degree",None,None
17-2072,"Electronics Engineers, Except Computer",22.9601822498,22.2451223632,20.8061064266,-1.43901593658,-0.064689054665,0.00997780401158,62.6371680905,"Bachelor's degree",None,None
11-2021,"Marketing Managers",22.4327698338,23.3661198936,25.9284568439,2.5623369503,0.109660352766,0.00974860645282,75.408990653,"Bachelor's degree","5 years or more",None
