SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
15-1252,"Software Developers",49.7307164113,48.9712426293,47.2460340401,-1.72520858925,-0.03522901394,0.0568751036277,73.4116993984,"Bachelor's degree",None,None
13-2011,"Accountants and Auditors",34.352895209,33.9525017351,32.8450217058,-1.10748002925,-0.03261851035,0.0392880822139,43.1089648075,"Bachelor's degree",None,None
13-1199,"Business Operations Specialists, All Other",33.4457529681,32.9368381915,31.7811519455,-1.15568624604,-0.0350879534739,0.0382506185962,44.0340204732,"Bachelor's degree",None,None
43-4051,"Customer Service Representatives",26.3678260548,26.082362251,24.9429370864,-1.13942516461,-0.0436856582868,0.0301558663845,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1161,"Market Research Analysts and Marketing Specialists",25.9911632471,25.6302851874,24.6671520346,-0.963133152801,-0.0375779335173,0.0297250916487,44.3914768596,"Bachelor's degree",None,None
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",23.8516025823,23.3800107035,21.9182270344,-1.46178366905,-0.0625227972555,0.0272781585798,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
13-1071,"Human Resources Specialists",23.8262195493,23.7171119773,23.5207318667,-0.196380110563,-0.00828010217902,0.0272491289833,40.3929065653,"Bachelor's degree",None,None
15-1211,"Computer Systems Analysts",23.7920856711,23.4338341516,22.5218043545,-0.912029797053,-0.0389193586997,0.0272100913824,58.4694824003,"Bachelor's degree",None,None
11-1021,"General and Operations Managers",22.6394710074,22.8106427204,23.0083959783,0.19775325794,0.00866934177892,0.0258918904158,61.6285042673,"Bachelor's degree","5 years or more",None
11-3031,"Financial Managers",22.0268573914,22.2004455363,22.6795063426,0.479060806277,0.021578882527,0.0251912678347,79.3209756057,"Bachelor's degree","5 years or more",None
11-3021,"Computer and Information Systems Managers",21.5755896813,21.5203086431,21.416894307,-0.10341433608,-0.00480542996827,0.0246751703475,93.4130432172,"Bachelor's degree","5 years or more",None
13-1082,"Project Management Specialists",20.7760273571,20.414482904,19.4882554535,-0.926227450502,-0.045371095357,0.0237607417342,54.4154343989,"Bachelor's degree",None,None
13-1111,"Management Analysts",17.9157687843,17.787076532,17.5161296522,-0.270946879779,-0.0152327943994,0.0204895742452,56.4777337062,"Bachelor's degree","Less than 5 years",None
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",17.8787825537,17.6493332433,16.9214034855,-0.727929757799,-0.0412440372541,0.0204472745188,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
13-1028,"Buyers and Purchasing Agents",16.797182628,16.6377547509,16.2640131131,-0.373741637805,-0.0224634659785,0.019210290371,37.3532870525,"Bachelor's degree",None,"Moderate-term on-the-job training"
11-2021,"Marketing Managers",14.7432461939,14.6145804809,14.2343043663,-0.380276114648,-0.0260203236859,0.0168612824346,75.408990653,"Bachelor's degree","5 years or more",None
13-2051,"Financial and Investment Analysts",13.5823624623,13.4554382003,13.0865849633,-0.368853236998,-0.0274129486909,0.0155336244538,48.5525598785,"Bachelor's degree",None,None
43-3021,"Billing and Posting Clerks",11.2555095495,10.9723144028,10.1601155371,-0.812198865728,-0.074022565879,0.0128724924595,26.3100584616,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1232,"Computer User Support Specialists",10.9256714474,10.72314113,10.0816447446,-0.641496385422,-0.0598235514804,0.0124952693348,32.2581553392,"Some college, no degree",None,None
15-2051,"Data Scientists",10.4757725018,10.5562827557,10.9299427538,0.3736599981,0.0353969296528,0.0119807372508,68.4412756836,"Bachelor's degree",None,None
11-9199,"Managers, All Other",10.2220404991,10.2622121764,10.2711497358,0.00893755938252,0.000870919371854,0.0116905537388,77.931619307,"Bachelor's degree","Less than 5 years",None
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",9.71195184953,9.59254641467,9.23563524055,-0.356911174125,-0.0372071354879,0.0111071850102,35.118,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1299,"Computer Occupations, All Other",9.57813254244,9.43610984013,9.06109162398,-0.375018216156,-0.0397428837211,0.0109541410263,60.9376143038,"Bachelor's degree",None,None
11-3121,"Human Resources Managers",8.94114105902,8.87256793712,8.66087180481,-0.211696132305,-0.0238596237082,0.0102256384178,82.9460615703,"Bachelor's degree","5 years or more",None
43-6011,"Executive Secretaries and Executive Administrative Assistants",8.42729278983,8.31548580109,7.96231238122,-0.353173419874,-0.0424717723441,0.0096379699572,35.241658593,"High school diploma or equivalent","Less than 5 years",None
43-9061,"Office Clerks, General",7.9793214229,7.89965845121,7.57126829769,-0.328390153517,-0.0415701711087,0.00912564237065,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",7.62793285684,7.58125332418,7.37934819776,-0.201905126422,-0.0266321566882,0.00872377281094,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
