SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
51-2098,"Miscellaneous Assemblers and Fabricators",705.994369131,715.989044394,740.381920478,24.3928760846,0.0340687839788,0.0439541523893,21.0981099345,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
51-1011,"First-Line Supervisors of Production and Operating Workers",590.815787571,595.429808264,605.018042903,9.58823463845,0.016103047757,0.0367833063497,35.2203066122,"High school diploma or equivalent","Less than 5 years",None
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",504.012207499,506.002932299,509.257029035,3.25409673646,0.00643098395039,0.031379045419,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",447.397553266,451.018289568,457.805386557,6.7870969889,0.0150483852781,0.0278543018113,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",436.936293595,440.471977406,447.121906775,6.6499293691,0.0150972813487,0.0272029994471,28.1436686129,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",351.154655044,351.501287664,350.384388233,-1.11689943084,-0.00317751163376,0.0218623630653,35.118,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-5071,"Shipping, Receiving, and Inventory Clerks",325.166730682,323.932342101,316.260961807,-7.67138029411,-0.0236820449738,0.0202443938043,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
49-9041,"Industrial Machinery Mechanics",315.320320931,323.970512506,349.49186685,25.5213543446,0.0787767817114,0.0196313710755,36.0720887268,"High school diploma or equivalent",None,"Long-term on-the-job training"
51-4041,Machinists,259.468898491,267.161326593,287.172386494,20.0110599015,0.0749025323264,0.0161541451366,33.7097662689,"High school diploma or equivalent",None,"Long-term on-the-job training"
51-4121,"Welders, Cutters, Solderers, and Brazers",247.43538451,251.446390049,261.150284619,9.70389457064,0.0385923002066,0.015404956573,29.5930260812,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7051,"Industrial Truck and Tractor Operators",246.18548133,247.28874246,249.406066527,2.11732406703,0.00856215307647,0.0153271394724,25.3099644527,"No formal educational credential",None,"Short-term on-the-job training"
