SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",24.4343814307,24.4714330927,24.5679212393,0.0964881466693,0.00394288909456,0.127523237752,31.5642391762,"High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",19.9513181531,19.8801451407,19.6700213409,-0.210123799793,-0.010569530469,0.104126093616,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
47-2073,"Operating Engineers and Other Construction Equipment Operators",17.995427406,18.2923162671,18.7025461258,0.410229858784,0.0224263484621,0.093918283712,40.2825615093,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-1011,"First-Line Supervisors of Construction Trades and Extraction Workers",12.5323371885,12.6544621732,12.6413854336,-0.0130767395705,-0.00103336984152,0.0654063709123,46.2722957928,"High school diploma or equivalent","5 years or more",None
47-5051,"Rock Splitters, Quarry",8.46459062855,8.40050530189,8.24950739816,-0.15099790373,-0.0179748596428,0.0441767681436,28.1223395949,"No formal educational credential",None,"Short-term on-the-job training"
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",6.82827957423,6.95518480757,7.23863307974,0.283448272174,0.0407535212962,0.0356368472862,37.8281842197,"High school diploma or equivalent",None,"Long-term on-the-job training"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",6.75680052547,6.72590383391,6.65132803545,-0.0745757984541,-0.0110878478634,0.0352637975426,22.0297283328,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-5099,"Extraction Workers, All Other",6.45295512189,6.40323140573,6.28930064713,-0.113930758599,-0.017792697371,0.033678025881,25.8367211023,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-2061,"Construction Laborers",4.19406126827,4.21239162885,4.29687087937,0.0844792505202,0.0200549374236,0.0218888402711,26.8528906879,"No formal educational credential",None,"Short-term on-the-job training"
11-1021,"General and Operations Managers",4.08839738557,4.11916847728,4.20700333236,0.087834855079,0.0213234432055,0.0213373795978,61.6285042673,"Bachelor's degree","5 years or more",None
43-9061,"Office Clerks, General",3.91792120891,3.89021013201,3.79012727279,-0.100082859226,-0.0257268517201,0.020447663029,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
49-9041,"Industrial Machinery Mechanics",3.90907341594,3.95079946217,4.05501759037,0.104218128195,0.0263789972619,0.0204014863247,36.0720887268,"High school diploma or equivalent",None,"Long-term on-the-job training"
49-9071,"Maintenance and Repair Workers, General",3.60843682418,3.62659037809,4.17643447507,0.549844096978,0.151614613081,0.0188324614784,26.6236216066,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3051,"Industrial Production Managers",3.4981176701,3.49244695577,3.49034122337,-0.0021057323998,-0.000602938978448,0.0182567049054,63.2593642308,"Bachelor's degree","5 years or more",None
51-8099,"Plant and System Operators, All Other",3.3532561869,3.32815145373,3.26322176309,-0.0649296906472,-0.0195092355471,0.0175006716326,36.5933488475,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7011,"Conveyor Operators and Tenders",3.22002446698,3.20302503284,3.18100127708,-0.0220237557581,-0.0068759237072,0.01680533419,19.1245437313,"No formal educational credential",None,"Short-term on-the-job training"
