SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",841.003955912,853.67489741,889.348943474,35.6740460644,0.0417887959136,0.0523168888603,27.8465030227,"Postsecondary nondegree award",None,None
39-9011,"Childcare Workers",784.570181622,786.042398912,809.197655613,23.1552567004,0.0294580250791,0.0488062757689,17.1252517637,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-5092,"Manicurists and Pedicurists",729.400702869,740.28153915,771.25763472,30.9760955696,0.041843668836,0.0453743115456,23.1965698411,"Postsecondary nondegree award",None,None
49-3023,"Automotive Service Technicians and Mechanics",704.855693482,715.806135248,743.529111046,27.7229757974,0.0387297264332,0.0438474239262,27.2353935887,"Postsecondary nondegree award",None,"Short-term on-the-job training"
31-1128,"Home Health and Personal Care Aides",621.156199107,630.782302745,681.584606397,50.8023036519,0.0805385684265,0.038640674167,20.7217081649,"High school diploma or equivalent",None,"Short-term on-the-job training"
37-2012,"Maids and Housekeeping Cleaners",455.365058689,455.610967271,467.436140967,11.8251736958,0.0259545413638,0.0283271951325,18.4313925007,"No formal educational credential",None,"Short-term on-the-job training"
53-7061,"Cleaners of Vehicles and Equipment",419.461081578,420.37638041,418.99417199,-1.38220841929,-0.00328802588276,0.0260936927013,19.0440661798,"No formal educational credential",None,"Short-term on-the-job training"
21-2011,Clergy,416.023728118,421.499018381,442.385655958,20.8866375768,0.0495532294643,0.025879862983,34.9136045305,"Bachelor's degree",None,"Moderate-term on-the-job training"
11-1021,"General and Operations Managers",396.700249178,403.27675218,423.322515339,20.0457631589,0.0497072123561,0.0246777945588,61.6285042673,"Bachelor's degree","5 years or more",None
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",368.577057629,371.686124294,382.392800969,10.7066766746,0.0288056937691,0.022928316597,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
51-6011,"Laundry and Dry-Cleaning Workers",358.529021747,372.200721023,415.525048054,43.3243270311,0.116400438215,0.0223032517886,18.8545524152,"No formal educational credential",None,"Short-term on-the-job training"
43-9061,"Office Clerks, General",320.885172036,321.911965124,323.646521919,1.73455679481,0.00538829550538,0.0199615159528,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-2021,"Counter and Rental Clerks",295.849860629,301.058307715,310.989741348,9.93143363373,0.0329884058312,0.0184041277916,21.3707823725,"No formal educational credential",None,"Short-term on-the-job training"
49-3021,"Automotive Body and Related Repairers",266.365559493,260.561606249,245.619819793,-14.9417864559,-0.0573445438528,0.0165699783862,25.9851008879,"High school diploma or equivalent",None,"Long-term on-the-job training"
21-2021,"Directors, Religious Activities and Education",259.118600851,262.682637034,277.021474198,14.3388371638,0.0545861627006,0.0161191620409,25.462,"Bachelor's degree","Less than 5 years",None
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",256.318895393,260.314770252,273.6408021,13.3260318474,0.0511919928112,0.0159449989132,20.3338841552,"No formal educational credential",None,"Short-term on-the-job training"
43-4171,"Receptionists and Information Clerks",253.869700107,256.396900602,262.250688137,5.8537875351,0.022830960598,0.0157926402036,20.3347398054,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-2021,"Animal Caretakers",234.709391219,242.749975295,262.79756836,20.0475930653,0.0825853557387,0.0146007222066,17.073,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",221.959796671,222.568873798,223.275253292,0.706379493419,0.00317375687518,0.013807599753,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
