SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
13-2011,"Accountants and Auditors",895.771441183,903.012828687,917.680562309,14.6677336213,0.016243106582,0.064221406613,43.1089648075,"Bachelor's degree",None,None
15-1252,"Software Developers",834.298858726,878.738197193,989.137087286,110.398890093,0.125633425798,0.05981419342,73.4116993984,"Bachelor's degree",None,None
13-1111,"Management Analysts",646.962029471,686.974728018,783.322416646,96.3476886284,0.14024924746,0.0463832732856,56.4777337062,"Bachelor's degree","Less than 5 years",None
23-1011,Lawyers,597.222154175,616.953917583,671.033479787,54.079562204,0.0876557562288,0.0428172243926,71.2569248935,"Doctoral or professional degree",None,None
23-2011,"Paralegals and Legal Assistants",553.273288721,567.886142348,605.422945707,37.5368033588,0.0660991712239,0.0396663559581,37.3098481617,"Associate's degree",None,None
31-9096,"Veterinary Assistants and Laboratory Animal Caretakers",487.708950258,504.494862823,546.036870076,41.5420072537,0.0823437666367,0.034965788552,21.1177539871,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1082,"Project Management Specialists",451.89311294,471.506582693,517.810161016,46.3035783228,0.0982034610382,0.0323980091544,54.4154343989,"Bachelor's degree",None,None
13-1161,"Market Research Analysts and Marketing Specialists",357.245274013,379.09007054,432.601785582,53.5117150429,0.141158313555,0.0256123302755,44.3914768596,"Bachelor's degree",None,None
11-1021,"General and Operations Managers",319.446278121,333.869978558,374.619307897,40.7493293393,0.122051492965,0.022902370376,61.6285042673,"Bachelor's degree","5 years or more",None
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",319.360721962,322.044626526,324.96660918,2.92198265433,0.00907322281963,0.0228962365157,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
17-2051,"Civil Engineers",310.427067838,313.296971063,318.635291587,5.33832052406,0.0170391705542,0.022255747427,48.7570302453,"Bachelor's degree",None,None
13-1199,"Business Operations Specialists, All Other",307.957174666,325.132224241,365.158131783,40.0259075422,0.123106553451,0.0220786709917,44.0340204732,"Bachelor's degree",None,None
43-4171,"Receptionists and Information Clerks",278.095138824,285.813893126,302.979733617,17.1658404914,0.0600595034192,0.0199377432305,20.3347398054,"High school diploma or equivalent",None,"Short-term on-the-job training"
17-1011,"Architects, Except Landscape and Naval",265.608696084,262.015327755,252.909010316,-9.10631743893,-0.0347549035278,0.0190425406381,42.5592751399,"Bachelor's degree",None,Internship/residency
29-2056,"Veterinary Technologists and Technicians",236.022169901,247.27700958,275.600525059,28.3235154785,0.114541645123,0.0169213652569,28.1183206112,"Associate's degree",None,None
43-6012,"Legal Secretaries and Administrative Assistants",228.835004783,233.561382479,243.950308753,10.3889262736,0.0444804965758,0.0164060888903,27.707994435,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-4051,"Customer Service Representatives",213.186866817,221.53244996,240.649178221,19.1167282616,0.0862931289077,0.0152842118301,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",211.199078065,220.97200485,248.978544384,28.006539534,0.12674247832,0.0151416993723,40.6028228432,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
29-1131,Veterinarians,202.255763828,210.580791732,231.365594751,20.7848030187,0.0987022740669,0.0145005177119,73.9748658842,"Doctoral or professional degree",None,None
43-9061,"Office Clerks, General",198.385026046,203.336384126,214.032574781,10.6961906544,0.0526034270765,0.0142230091717,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1071,"Human Resources Specialists",182.585014909,192.080328119,216.979373678,24.8990455592,0.129628295636,0.0130902437216,40.3929065653,"Bachelor's degree",None,None
15-1211,"Computer Systems Analysts",181.007698383,189.291848613,210.144029481,20.8521808676,0.110158894957,0.0129771596453,58.4694824003,"Bachelor's degree",None,None
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",175.868957685,180.474863093,191.937779682,11.4629165891,0.0635153084073,0.0126087429481,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",175.57682441,180.887286057,193.311035738,12.4237496802,0.0686822714357,0.0125877987552,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
11-3021,"Computer and Information Systems Managers",168.139621125,176.561638732,201.207933613,24.6462948815,0.139590315646,0.012054596161,93.4130432172,"Bachelor's degree","5 years or more",None
15-1232,"Computer User Support Specialists",162.446784242,167.673650636,180.495031607,12.8213809719,0.0764662838994,0.0116464541111,32.2581553392,"Some college, no degree",None,None
