SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
41-2021,"Counter and Rental Clerks",814.763015705,835.641725468,886.893848428,51.25212296,0.0613326517788,0.132588373964,21.3707823725,"No formal educational credential",None,"Short-term on-the-job training"
49-9071,"Maintenance and Repair Workers, General",790.834233103,810.752775167,860.962988769,50.2102136017,0.0619303629166,0.128694384774,26.6236216066,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
41-9022,"Real Estate Sales Agents",539.231702437,551.289286717,581.314215742,30.0249290247,0.0544631099281,0.0877504909256,34.3545314616,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-9141,"Property, Real Estate, and Community Association Managers",314.545708875,324.99591879,351.382487719,26.3865689291,0.0811904624138,0.05118679085,52.1002687157,"High school diploma or equivalent","Less than 5 years",None
43-9061,"Office Clerks, General",231.543230423,235.035613352,240.920348961,5.88473560881,0.0250376337648,0.037679594965,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",202.5672326,207.624372308,220.358874841,12.7345025325,0.061334333686,0.0329642601237,20.3338841552,"No formal educational credential",None,"Short-term on-the-job training"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",185.210089941,187.569408863,191.193669607,3.62426074448,0.0193222379196,0.0301396899389,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
11-1021,"General and Operations Managers",180.655739035,185.409420875,197.238877915,11.8294570401,0.0638018121424,0.0293985493012,61.6285042673,"Bachelor's degree","5 years or more",None
13-2011,"Accountants and Auditors",173.472736866,177.39307006,187.223321442,9.83025138178,0.0554150812005,0.0282296418282,43.1089648075,"Bachelor's degree",None,None
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",167.34278988,171.236502996,180.944148655,9.70764565947,0.0566914500684,0.0272321005951,42.5591544539,"High school diploma or equivalent","Less than 5 years",None
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",139.309792727,142.187627516,148.546959984,6.35933246849,0.0447249354926,0.0226702225543,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1199,"Business Operations Specialists, All Other",96.8994301098,98.9932957794,104.152346985,5.15905120524,0.0521151575429,0.0157686807436,44.0340204732,"Bachelor's degree",None,None
13-1161,"Market Research Analysts and Marketing Specialists",83.4645190273,85.3132592129,89.9098607331,4.59660152027,0.0538790987788,0.0135823848754,44.3914768596,"Bachelor's degree",None,None
43-4051,"Customer Service Representatives",83.1170221736,84.2917051533,86.0968134482,1.80510829488,0.0214150169532,0.0135258358643,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1082,"Project Management Specialists",82.4072495595,84.0557350117,88.1034677868,4.0477327751,0.0481553432914,0.0134103328346,54.4154343989,"Bachelor's degree",None,None
37-3011,"Landscaping and Groundskeeping Workers",80.5437357407,82.4947068706,87.4058147239,4.91110785324,0.059532399587,0.013107078683,21.1732620573,"No formal educational credential",None,"Short-term on-the-job training"
43-4171,"Receptionists and Information Clerks",73.5451726681,75.2302046861,79.4549501328,4.22474544669,0.0561575694804,0.0119681854343,20.3347398054,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",71.1007949027,72.3634514472,75.0382930561,2.67484160896,0.036963986038,0.0115704058751,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
37-2012,"Maids and Housekeeping Cleaners",68.5056133114,70.1327448063,74.2337314194,4.10098661309,0.0584746344154,0.0111480856412,18.4313925007,"No formal educational credential",None,"Short-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",66.4672616438,67.4295623428,69.4582284711,2.0286661283,0.0300857080755,0.0108163796998,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
33-9032,"Security Guards",63.5602681379,64.6998019963,66.9586350452,2.25883304882,0.0349125187268,0.0103433175521,21.1356930588,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-3031,"Financial Managers",53.9058585364,55.7934393119,61.1869155877,5.39347627584,0.0966686467507,0.00877223191617,79.3209756057,"Bachelor's degree","5 years or more",None
53-3032,"Heavy and Tractor-Trailer Truck Drivers",49.9543208118,51.0885549021,53.6135911698,2.52503626767,0.0494246954628,0.00812918853857,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
41-1011,"First-Line Supervisors of Retail Sales Workers",46.4716455472,47.762211391,50.8645741081,3.10236271709,0.0649543357968,0.00756244429334,26.1248104996,"High school diploma or equivalent","Less than 5 years",None
53-3033,"Light Truck Drivers",43.4524622,44.1565873955,45.6027791834,1.44619178794,0.032751439213,0.00707112521898,20.9407140114,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1071,"Human Resources Specialists",42.1923258937,43.1470961689,45.5294355926,2.38233942366,0.055214362847,0.0068660601625,40.3929065653,"Bachelor's degree",None,None
