SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
41-2031,"Retail Salespersons",8355.66406641,8415.38457249,8615.21955864,199.83498615,0.0237463878719,0.231489643934,16.9612696731,"No formal educational credential",None,"Short-term on-the-job training"
41-2011,Cashiers,5008.33969735,5018.16056265,5001.56846199,-16.5921006587,-0.00330641087537,0.138753636339,17.3828763701,"No formal educational credential",None,"Short-term on-the-job training"
53-7065,"Stockers and Order Fillers",4073.28074248,4164.99848989,4458.93890411,293.940414223,0.0705739545732,0.112848278871,19.7230687786,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-1011,"First-Line Supervisors of Retail Sales Workers",2492.07954784,2506.02505313,2541.55261094,35.5275578088,0.0141768565978,0.0690418622149,26.1248104996,"High school diploma or equivalent","Less than 5 years",None
43-4051,"Customer Service Representatives",1006.6797958,1009.40601218,1009.85137387,0.445361688762,0.00044121164664,0.0278895783308,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
49-3023,"Automotive Service Technicians and Mechanics",913.037304041,920.921255104,947.950197738,27.0289426347,0.0293498955365,0.0252952582501,27.2353935887,"Postsecondary nondegree award",None,"Short-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",668.463536004,676.775910267,702.322925022,25.5470147553,0.037748114801,0.0185194599379,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
29-2052,"Pharmacy Technicians",668.223767429,670.543797833,687.969093412,17.4252955792,0.025986811951,0.0185128172652,26.02701718,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-1021,"General and Operations Managers",597.925255374,606.659841374,633.657280274,26.9974389007,0.0445017735797,0.016565230886,61.6285042673,"Bachelor's degree","5 years or more",None
41-2022,"Parts Salespersons",595.581158153,599.394536707,611.435586202,12.0410494944,0.0200886874288,0.0165002888028,20.958013197,"No formal educational credential",None,"Moderate-term on-the-job training"
35-3023,"Fast Food and Counter Workers",583.548854767,587.23496611,594.594031753,7.35906564307,0.0125317225093,0.0161669396394,16.578,"No formal educational credential",None,"Short-term on-the-job training"
35-2021,"Food Preparation Workers",576.633423416,581.128309199,591.913204423,10.784895224,0.0185585438762,0.0159753509483,18.1707959321,"No formal educational credential",None,"Short-term on-the-job training"
43-5071,"Shipping, Receiving, and Inventory Clerks",481.11467831,481.51660391,482.394098569,0.877494659965,0.00182235597452,0.0133290501734,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-2021,"Counter and Rental Clerks",451.449089697,453.585065995,460.242847422,6.65778142714,0.0146781319013,0.0125071793454,21.3707823725,"No formal educational credential",None,"Short-term on-the-job training"
