SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",3783.11170525,3857.85882348,4045.41203022,187.553206743,0.0486158813282,0.16445592832,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3329.6124945,3434.6841851,3623.0087256,188.324540495,0.0548302348472,0.144741830639,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
53-3033,"Light Truck Drivers",2201.64708894,2326.7580538,2613.34137637,286.583322567,0.123168509978,0.0957079631938,20.9407140114,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-7065,"Stockers and Order Fillers",2024.48560841,2082.63638254,2169.63086209,86.9944795467,0.04177132421,0.0880065633905,19.7230687786,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-7051,"Industrial Truck and Tractor Operators",1575.952495,1622.50954104,1694.79603573,72.286494687,0.0445522771106,0.0685083472935,25.3099644527,"No formal educational credential",None,"Short-term on-the-job training"
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",840.615690235,867.21868571,924.938183541,57.7194978305,0.0665570274045,0.0365424667493,32.1219863549,"High school diploma or equivalent","Less than 5 years",None
43-5071,"Shipping, Receiving, and Inventory Clerks",756.695373609,776.992505205,808.016604166,31.0240989612,0.0399284404333,0.0328943604678,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-5011,"Cargo and Freight Agents",339.692216536,355.428374411,396.885338213,41.4569638019,0.116639432264,0.0147667854312,25.1726901225,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-7064,"Packers and Packagers, Hand",335.701814641,344.140643315,348.762046956,4.6214036409,0.0134288225778,0.0145933183757,17.5055022418,"No formal educational credential",None,"Short-term on-the-job training"
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",325.647929204,333.271138025,348.872196691,15.6010586655,0.0468119104402,0.0141562651794,25.542,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-3053,"Shuttle Drivers and Chauffeurs",295.632264366,312.640360189,351.614184157,38.9738239677,0.124660245223,0.0128514519966,18.882,"No formal educational credential",None,"Short-term on-the-job training"
11-1021,"General and Operations Managers",288.061556667,298.337330554,322.1238286,23.7864980465,0.0797302101027,0.0125223452031,61.6285042673,"Bachelor's degree","5 years or more",None
43-4051,"Customer Service Representatives",284.324957182,292.004404889,305.505458864,13.5010539745,0.0462357887363,0.0123599112109,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",278.338455747,287.324636823,306.273329773,18.94869295,0.0659487232263,0.0120996715649,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
49-3031,"Bus and Truck Mechanics and Diesel Engine Specialists",263.776656749,267.853178989,278.484657784,10.6314787949,0.0396914415391,0.0114666545253,37.8052158727,"High school diploma or equivalent",None,"Long-term on-the-job training"
43-9061,"Office Clerks, General",228.739169001,233.625639787,241.734027162,8.10838737542,0.0347067530038,0.00994353730792,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-3071,"Transportation, Storage, and Distribution Managers",199.438410706,207.22127719,226.284482944,19.0632057541,0.0919944419445,0.00866980188023,64.3844869017,"High school diploma or equivalent","5 years or more",None
