SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
49-9051,"Electrical Power-Line Installers and Repairers",66.2327002312,68.9324206248,75.4465305244,6.5141098996,0.0944999441563,0.0890089270999,67.4703029488,"High school diploma or equivalent",None,"Long-term on-the-job training"
17-2071,"Electrical Engineers",42.2163954225,42.9771837994,44.0263650643,1.0491812648,0.0244125178071,0.0567338497369,58.9190900486,"Bachelor's degree",None,None
43-4051,"Customer Service Representatives",31.7352334127,32.1771088291,32.7560768856,0.578968056449,0.0179931658722,0.0426484058097,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",29.0444813014,29.4065105042,30.2518693483,0.845358844075,0.0287473362048,0.039032352747,44.1216365463,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",27.918394089,28.5318040926,29.6048075727,1.07300348016,0.037607277713,0.0375190245233,42.5591544539,"High school diploma or equivalent","Less than 5 years",None
51-8092,"Gas Plant Operators",23.7719612718,23.6747705524,22.959567795,-0.71520275742,-0.0302094905561,0.0319467085063,42.07387749,"High school diploma or equivalent",None,"Long-term on-the-job training"
13-1082,"Project Management Specialists",21.9600165401,22.4065408402,23.4369676662,1.03042682606,0.0459877690807,0.0295116687756,54.4154343989,"Bachelor's degree",None,None
51-8031,"Water and Wastewater Treatment Plant and System Operators",21.4695427911,21.6209750334,21.3748348849,-0.246140148453,-0.0113843223108,0.0288525299813,40.7579295726,"High school diploma or equivalent",None,"Long-term on-the-job training"
13-1199,"Business Operations Specialists, All Other",20.551938725,20.9088915324,21.6751699248,0.766278392398,0.0366484464856,0.0276193784845,44.0340204732,"Bachelor's degree",None,None
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",18.0901747275,18.7720354987,20.3494716326,1.57743613393,0.0840311714753,0.0243110584035,61.3490519332,"Postsecondary nondegree award","Less than 5 years","Moderate-term on-the-job training"
47-2152,"Plumbers, Pipefitters, and Steamfitters",16.6964440858,16.8713422515,17.2189744931,0.347632241568,0.0206048953536,0.0224380490192,37.7951152909,"High school diploma or equivalent",None,Apprenticeship
11-1021,"General and Operations Managers",16.6703188475,17.0533702299,17.8782480928,0.824877862936,0.0483703720623,0.0224029397842,61.6285042673,"Bachelor's degree","5 years or more",None
49-9071,"Maintenance and Repair Workers, General",14.5923584382,14.8195695167,15.3112466966,0.491677179826,0.0331775615527,0.0196104063991,26.6236216066,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
49-9041,"Industrial Machinery Mechanics",14.4049703698,14.6063227192,15.0078323086,0.401509589453,0.0274887524514,0.0193585789655,36.0720887268,"High school diploma or equivalent",None,"Long-term on-the-job training"
43-9061,"Office Clerks, General",14.1213674986,14.2216987701,14.2455351328,0.0238363626592,0.00167605593709,0.0189774501998,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",13.9046926736,14.1019958422,14.4494126267,0.347416784531,0.024636001061,0.018686264824,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
43-5041,"Meter Readers, Utilities",12.8595833246,12.872144957,12.6207517864,-0.251393170661,-0.0195300139565,0.0172817612853,29.1566835275,"High school diploma or equivalent",None,"Short-term on-the-job training"
51-8013,"Power Plant Operators",12.7332733222,12.7430734053,11.6146235717,-1.12844983359,-0.088553977341,0.0171120155591,63.3105672892,"High school diploma or equivalent",None,"Long-term on-the-job training"
51-1011,"First-Line Supervisors of Production and Operating Workers",12.5703186533,12.736140916,13.0357958771,0.299654961074,0.0235279244357,0.0168930237288,35.2203066122,"High school diploma or equivalent","Less than 5 years",None
13-2011,"Accountants and Auditors",11.3747735411,11.6183475598,12.1715177081,0.553170148262,0.0476117748598,0.0152863522907,43.1089648075,"Bachelor's degree",None,None
13-1111,"Management Analysts",10.9667645601,11.1602536099,11.5788061053,0.41855249535,0.037503851613,0.0147380364056,56.4777337062,"Bachelor's degree","Less than 5 years",None
47-1011,"First-Line Supervisors of Construction Trades and Extraction Workers",9.57404190612,9.70310318998,9.97231537716,0.269212187171,0.0277449576595,0.0128663816378,46.2722957928,"High school diploma or equivalent","5 years or more",None
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",9.37092609151,9.45122990209,9.50512492501,0.0538950229202,0.00570243486599,0.0125934179707,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
43-3021,"Billing and Posting Clerks",8.54746346422,8.65470523018,8.85373817145,0.199032941274,0.0229970791588,0.0114867814497,26.3100584616,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-5061,"Production, Planning, and Expediting Clerks",7.97673917631,8.12454966113,8.41134865101,0.286798989886,0.0353002937822,0.0107197954086,30.3895599164,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-2061,"Construction Laborers",7.79034821793,7.87844109839,8.04827375771,0.169832659324,0.0215566324864,0.0104693079731,26.8528906879,"No formal educational credential",None,"Short-term on-the-job training"
15-1211,"Computer Systems Analysts",7.20752043939,7.36363787359,7.73065203093,0.36701415734,0.0498414185544,0.00968605627012,58.4694824003,"Bachelor's degree",None,None
