SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2021.52292807,2040.49271702,2087.23418454,46.7414675212,0.02290695141,0.148951349657,35.118,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",853.486573746,867.989406255,904.63129576,36.6418895055,0.0422146736371,0.0628872298744,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",735.14451622,748.850891409,783.429137737,34.5782463273,0.0461750753374,0.0541674627399,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
53-7065,"Stockers and Order Fillers",568.877317705,579.486387123,604.76148259,25.2750954664,0.0436163748244,0.0419164398707,19.7230687786,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-3033,"Light Truck Drivers",404.789421271,413.656488087,436.244214836,22.5877267488,0.0546050343687,0.0298259939514,20.9407140114,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-1021,"General and Operations Managers",356.913401331,361.811529389,374.534352652,12.7228232629,0.0351642284158,0.0262983575902,61.6285042673,"Bachelor's degree","5 years or more",None
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",349.986799573,347.695987796,341.647620645,-6.04836715025,-0.0173955621076,0.0257879865891,57.996,"Bachelor's degree",None,"Moderate-term on-the-job training"
43-5071,"Shipping, Receiving, and Inventory Clerks",334.798150877,337.22973671,339.809555469,2.57981875908,0.00765003342899,0.0246688453262,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-3031,"Driver/Sales Workers",322.945948958,330.015276262,347.579848726,17.5645724637,0.0532235133557,0.0237955426059,17.6133889392,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-4051,"Customer Service Representatives",289.088388437,289.867611017,289.205204609,-0.66240640774,-0.00228520325336,0.0213008247545,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",286.485381745,291.786519569,305.27239258,13.485873011,0.0462182866808,0.0211090280874,32.1219863549,"High school diploma or equivalent","Less than 5 years",None
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",262.547857213,263.546598764,263.707096652,0.160497887597,0.000608992445167,0.0193452456752,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
43-9061,"Office Clerks, General",216.777928745,217.770580332,218.249531153,0.478950820488,0.00219933665859,0.0159727919056,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1028,"Buyers and Purchasing Agents",212.975997436,217.147750598,229.197540456,12.0497898584,0.0554912027653,0.015692655187,37.3532870525,"Bachelor's degree",None,"Moderate-term on-the-job training"
15-1252,"Software Developers",212.386127845,213.397812739,218.025698081,4.62788534196,0.0216866578086,0.0156491919789,73.4116993984,"Bachelor's degree",None,None
11-2022,"Sales Managers",189.292179246,191.531749628,197.497810638,5.96606100958,0.0311492012221,0.0139475665533,74.6685654049,"Bachelor's degree","Less than 5 years",None
53-7051,"Industrial Truck and Tractor Operators",188.662600289,192.118966874,200.783290803,8.66432392917,0.045098743087,0.0139011774503,25.3099644527,"No formal educational credential",None,"Short-term on-the-job training"
13-1161,"Market Research Analysts and Marketing Specialists",181.596389064,183.534881507,189.081005367,5.54612386067,0.0302183640251,0.0133805196411,44.3914768596,"Bachelor's degree",None,None
41-1012,"First-Line Supervisors of Non-Retail Sales Workers",165.851515727,168.217627218,174.285931065,6.06830384741,0.0360741258082,0.0122203942222,42.7607512384,"High school diploma or equivalent","Less than 5 years",None
13-2011,"Accountants and Auditors",165.511145188,167.565034035,173.221540217,5.65650618213,0.0337570795405,0.0121953147881,43.1089648075,"Bachelor's degree",None,None
13-1199,"Business Operations Specialists, All Other",160.899126953,162.977224464,168.641108806,5.66388434146,0.0347526125817,0.0118554886445,44.0340204732,"Bachelor's degree",None,None
27-1026,"Merchandise Displayers and Window Trimmers",159.117817757,162.495319064,170.783240126,8.28792106218,0.0510040603626,0.011724236901,20.1799020347,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1082,"Project Management Specialists",159.000384366,160.095899872,163.345348215,3.24944834275,0.0202968867119,0.0117155840869,54.4154343989,"Bachelor's degree",None,None
